ruangan,lantai,kapasitas,hari,jam_mulai,jam_selesai,nama_kelas,dosen
R.101,1,40,Senin,07:00,09:00,IF-A 2024,Dr. Budi Santoso
R.101,1,40,Senin,10:00,12:00,SI-B 2023,Bu Sari Dewi
R.101,1,40,Rabu,13:00,15:00,TI-C 2022,Pak Doni Kurnia
R.102,1,35,Senin,07:00,10:00,IF-B 2024,Bu Rina Pratiwi
R.102,1,35,Selasa,10:00,12:00,SI-A 2023,Pak Hendra
R.102,1,35,Kamis,13:00,16:00,TI-A 2024,Bu Lestari
R.103,1,50,Senin,08:00,11:00,IF-C 2022,Pak Agus
R.103,1,50,Rabu,07:00,09:30,SI-C 2022,Bu Wulan
R.103,1,50,Jumat,10:00,12:00,TI-B 2023,Pak Reza
R.201,2,40,Senin,07:00,09:00,IF-D 2023,Dr. Budi Santoso
R.201,2,40,Selasa,11:00,14:00,SI-D 2024,Bu Sari Dewi
R.201,2,40,Kamis,08:00,10:00,TI-D 2022,Pak Doni Kurnia
R.202,2,30,Rabu,10:00,13:00,IF-A 2023,Bu Rina Pratiwi
R.202,2,30,Jumat,07:00,09:00,SI-B 2024,Pak Hendra
R.203,2,45,Senin,13:00,15:30,TI-C 2023,Bu Lestari
R.203,2,45,Rabu,08:00,11:00,IF-B 2023,Pak Agus
R.301,3,40,Selasa,07:00,10:00,SI-A 2024,Bu Wulan
R.301,3,40,Kamis,10:00,12:00,TI-A 2023,Pak Reza
R.302,3,35,Senin,09:00,12:00,IF-C 2023,Dr. Budi Santoso
R.302,3,35,Jumat,13:00,15:00,SI-C 2023,Bu Sari Dewi
